asset_id,asset_name,asset_category,damage_score,damage_type,asset_age_years,expected_lifespan_years,usage_count,estimated_repair_cost_etb,current_market_price_etb,repair_cost_ratio,age_damage_product,remaining_life_score,price_delta_pct,decision
1,Dell Precision 3660,Desktop Computer,0.2576,2,2.67,6,692,3550.24,66971.34,0.053011,0.687792,0.555,94.698867,0
2,Acer Veriton X4660G Rev.2,Desktop Computer,0.2664,2,1.24,6,574,3699.22,64524.63,0.05733,0.330336,0.793333,94.266964,0
3,HP EliteDesk 800 G8 S/N-1003,Desktop Computer,0.056,3,6.89,6,714,15963.85,46022.03,0.346874,0.38584,0.0,65.312591,1
4,Dell Vostro 3910 S/N-1004,Desktop Computer,0.1451,1,6.53,6,367,7736.9,48893.57,0.15824,0.947503,0.0,84.176038,1
5,ASUS ExpertCenter D500 S/N-1005,Desktop Computer,0.955,1,4.74,6,565,19054.1,75356.41,0.252853,4.5267,0.21,74.714692,1
6,Acer Veriton X4660G,Desktop Computer,0.2619,0,0.86,6,81,18500.58,63867.61,0.289671,0.225234,0.856667,71.032923,0
7,ASUS ExpertCenter D500,Desktop Computer,0.2013,1,7.09,6,686,12975.03,54006.31,0.24025,1.427217,0.0,75.974974,0
8,Dell Precision 3660 #8,Desktop Computer,0.202,1,6.26,6,655,6765.05,65456.55,0.103352,1.26452,0.0,89.664823,1
9,HP EliteDesk 800 G8 S/N-1009,Desktop Computer,0.263,0,6.63,6,323,21542.74,69230.71,0.311173,1.74369,0.0,68.882682,1
10,HP EliteDesk 800 G8 Rev.1,Desktop Computer,0.7177,0,4.98,6,511,23088.99,38309.43,0.602697,3.574146,0.17,39.73027,0
11,HP EliteDesk 800 G8 S/N-1011,Desktop Computer,0.5512,2,6.39,6,438,6071.87,42143.58,0.144076,3.522168,0.0,85.59242,0
12,Lenovo ThinkCentre M720 #12,Desktop Computer,0.1345,0,4.53,6,112,24945.83,45966.04,0.542701,0.609285,0.245,45.729869,0
13,ASUS ExpertCenter D500,Desktop Computer,0.4049,3,1.0,6,541,12287.52,74603.97,0.164703,0.4049,0.833333,83.52967,0
14,HP ProDesk 400 G7 S/N-1014,Desktop Computer,0.7483,2,7.49,6,348,5520.14,69014.17,0.079986,5.604767,0.0,92.00144,1
15,Lenovo ThinkCentre M720,Desktop Computer,0.8645,0,8.04,6,512,12981.92,56738.26,0.228804,6.95058,0.0,77.119637,1
16,Lenovo ThinkCentre M720,Desktop Computer,0.6163,0,5.55,6,780,9565.79,78525.93,0.121817,3.420465,0.075,87.818304,1
17,Acer Veriton X4660G,Desktop Computer,0.3876,3,1.38,6,314,13749.33,64947.23,0.2117,0.534888,0.77,78.829998,0
18,Dell Precision 3660 #18,Desktop Computer,0.7307,3,1.12,6,778,15481.85,47043.58,0.329096,0.818384,0.813333,67.090409,0
19,Acer Veriton X4660G #19,Desktop Computer,0.2965,3,4.84,6,433,13456.21,41419.57,0.324876,1.43506,0.193333,67.512434,0
20,HP ProDesk 400 G7 #20,Desktop Computer,0.3973,3,5.81,6,462,11777.83,70647.45,0.166713,2.308313,0.031667,83.328726,1
21,Dell OptiPlex 7090 #21,Desktop Computer,0.264,0,5.15,6,72,10437.88,46234.87,0.225758,1.3596,0.141667,77.424225,0
22,Acer Veriton X4660G #22,Desktop Computer,0.5282,0,3.11,6,497,3691.09,38370.02,0.096197,1.642702,0.481667,90.380276,0
23,Acer Veriton X4660G,Desktop Computer,0.276,1,5.05,6,416,22412.43,71167.63,0.314924,1.3938,0.158333,68.50755,0
24,HP ProDesk 400 G7,Desktop Computer,0.4843,2,3.85,6,689,12483.13,39846.54,0.31328,1.864555,0.358333,68.671985,0
25,Lenovo ThinkCentre M720 Rev.7,Desktop Computer,0.2813,0,7.31,6,459,10464.66,55131.06,0.189814,2.056303,0.0,81.018576,1
26,HP ProDesk 400 G7,Desktop Computer,0.1201,3,7.41,6,563,13177.82,44174.4,0.298314,0.889941,0.0,70.16865,0
27,Lenovo ThinkCentre M720 Rev.0,Desktop Computer,0.1367,2,0.62,6,242,14892.93,67607.24,0.220286,0.084754,0.896667,77.971398,0
28,ASUS ExpertCenter D500 Rev.1,Desktop Computer,0.1045,1,3.67,6,399,7702.44,59282.06,0.129929,0.383515,0.388333,87.007132,0
29,Lenovo ThinkCentre M720 #29,Desktop Computer,0.7785,2,6.27,6,498,18325.01,49262.46,0.371987,4.881195,0.0,62.801269,1
30,Dell OptiPlex 7090 Rev.3,Desktop Computer,0.5542,2,5.08,6,58,24311.61,49835.39,0.487838,2.815336,0.153333,51.216174,0
31,HP ProDesk 400 G7,Desktop Computer,0.9435,0,1.74,6,190,21759.84,60142.52,0.361805,1.64169,0.71,63.819541,1
32,Dell OptiPlex 7090,Desktop Computer,0.878,0,1.45,6,608,8174.49,68760.63,0.118883,1.2731,0.758333,88.111671,1
33,Dell Vostro 3910 #33,Desktop Computer,0.9193,0,4.63,6,733,15840.79,55961.25,0.283067,4.256359,0.228333,71.693288,1
34,Dell OptiPlex 7090 Rev.7,Desktop Computer,0.4752,3,5.6,6,74,5879.32,48280.73,0.121774,2.66112,0.066667,87.822636,1
35,Dell Vostro 3910,Desktop Computer,0.55,1,1.29,6,135,15385.86,66057.96,0.232915,0.7095,0.785,76.708545,0
36,Dell Precision 3660,Desktop Computer,0.8254,2,1.75,6,626,11129.6,78963.51,0.140946,1.44445,0.708333,85.905388,0
37,HP ProDesk 400 G7,Desktop Computer,0.1463,3,7.86,6,270,15201.25,68393.16,0.222263,1.149918,0.0,77.773728,1
38,ASUS ExpertCenter D500 Rev.2,Desktop Computer,0.2459,0,2.73,6,703,6419.85,72120.83,0.089015,0.671307,0.545,91.09848,1
39,Dell OptiPlex 7090 S/N-1039,Desktop Computer,0.6399,3,0.9,6,45,22979.5,47556.06,0.483209,0.57591,0.85,51.679134,1
40,Dell Precision 3660,Desktop Computer,0.7393,1,2.57,6,437,17016.49,73555.96,0.231341,1.900001,0.571667,76.865926,1
41,Dell Precision 3660 #41,Desktop Computer,0.1886,0,5.96,6,378,23791.12,40593.69,0.586079,1.124056,0.006667,41.392073,1
42,Dell Vostro 3910 #42,Desktop Computer,0.9178,3,3.38,6,40,3920.23,56489.34,0.069398,3.102164,0.436667,93.06023,1
43,Lenovo ThinkCentre M720 #43,Desktop Computer,0.5707,3,3.29,6,635,17672.54,69103.33,0.255741,1.877603,0.451667,74.425921,0
44,Dell Vostro 3910 Rev.8,Desktop Computer,0.8697,0,6.91,6,754,24476.53,78230.28,0.312878,6.009627,0.0,68.712205,1
